p_id,name,price,colour,brand,ratingCount,avg_rating
17193226,KALINI Women Teal Blue & Golden Printed Kurti with Sharara,2499,Teal,KALINI,589,4.40237691
14949672,Stylum Women Pink Ethnic Motifs Printed Pure Cotton Kurta with Trousers & Dupatta,3200,Pink,Stylum,398,3.781407035
9370965,Sangria Women Pink Printed Straight Kurta,1299,Pink,Sangria,1182,4.060913706
11434632,Inddus Women Red Embroidered Kurta with Trousers & Dupatta,5899,Red,Inddus,1327,4.1213263
13962368,Indo Era Women Off White & Pink Printed Sequinned Cotton Kurta with Palazzos & Dupatta,6999,Off White,Indo Era,110,4.2
13932904,anayna Women Blue & White Geometric Screen Print Cotton Fusion Kurta,1660,Blue,anayna,985,4.571573604
18198270,Biba Women Mustard Yellow & Pink Floral Printed Pure Cotton Straight Kurta,1999,Mustard,Biba,5,4.6
17104862,Anouk Women Charcoal Grey Pure Cotton Printed Pleated Top with Palazzos,1899,Charcoal,Anouk,7,4.571428571
19240240,Charu Women Maroon Flared Sleeves Thread Work Kurta,3099,Maroon,Charu,,
15150344,Yufta Women Lavender & White Ethnic Motifs Printed Kurta with Trousers & Dupatta,3499,Lavender,Yufta,366,4.234972678
18165350,Indo Era Women Pink Ethnic Motifs Embroidered Kurta with Trousers & Dupatta,5999,Pink,Indo Era,37,4.216216216
12307502,Prakhya Women Pink Self Design Kurta with Trousers & Dupatta,3298,Pink,Prakhya,5199,4.057703405
19261926,Baisacrafts Women's Blue Floral Dyed Pure Cotton Kurti With Trousers & Dupatta,3199,Blue,Baisacrafts,,
16287098,Nayo Women Navy Blue Ethnic Motifs Printed Cotton Kurta,1299,Navy Blue,Nayo,109,4.155963303
18963536,KALINI Women Green Ethnic Motifs Embroidered Thread Work Kurta,1400,Green,KALINI,,
15390174,Indo Era Women Blue Floral Printed Regular Pure Cotton Kurta with Palazzos & With Dupatta,3499,Blue,Indo Era,72,3.708333333
11197978,Anouk Women Lime Green & Blue Printed A-Line Kurta,1599,Lime Green,Anouk,1258,4.09618442
10648236,Meeranshi Women Green Striped Straight Kurta,1399,Green,Meeranshi,1807,4.086884339
17447636,Khushal K Women Green Ethnic Motifs Printed Gotta Patti Kurta with Trousers & Dupatta,5699,Green,Khushal K,91,3.956043956
17487138,Libas Women Green & Gold-Toned Geometric Print Gotta Patti Kurta with Skirt & Dupatta,3999,Green,Libas,40,4.35
16707970,mokshi Ethnic Motifs Viscose Rayon Kurta Set,3899,Green,mokshi,224,3.964285714
14121926,Anouk Women Purple Thread Work Kurta with Trousers & With Dupatta,4299,Purple,Anouk,144,4.1875
17952212,Biba Women Mustard Yellow & Golden Ethnic Motifs Printed Kurta with Palazzos & Dupatta,3999,Mustard,Biba,52,4.326923077
18184744,Libas Women Red & Gold-Toned Ethnic Motifs Printed Kurta,1399,Red,Libas,15,4.266666667
13572242,Anubhutee Women Green & Blue Printed Kurta with Trousers,2989,Green,Anubhutee,2712,4.070058997
15921898,Divena Women Pink Floral Embroidered Regular Gotta Patti Pure Cotton Kurta with Sharara & With Dupatta,7999,Pink,Divena,71,4.535211268
13647622,Varanga Women Pink & White Leheriya Printed Angrakha Kurta With Embroidery,3599,Pink,Varanga,1038,4.318882466
15098616,Indo Era Women Burgundy & Golden Ethnic Motifs Yoke Design Kurta,2699,Burgundy,Indo Era,1033,3.883833495
18887472,Rain & Rainbow Women Cream-Coloured & Blue Pure Cotton Printed Kurta,2995,Cream,Rain & Rainbow,,
19222130,heemara Women Maroon Ethnic Motifs Printed Kurta with Trousers & With Dupatta,7499,Maroon,heemara,,
19048738,anokherang Women Copper-Toned Pure Silk Kurta with Trousers & With Dupatta,4999,Copper,anokherang,,
9369411,Myshka Women Black & White Striped Straight Kurta,1699,Black,Myshka,1384,4.070086705
17320642,Nayo Women Navy Blue & Pink Floral Printed Pure Cotton Kurta with Trousers & With Dupatta,3749,Navy Blue,Nayo,50,3.68
9861565,AHIKA Women Orange & Pink Digital Print Straight Kurta,860,Orange,AHIKA,3126,3.851247601
15054430,Biba Women Green Ethnic Motifs Printed Regular Pure Cotton Kurta with Palazzos & With Dupatta,4995,Green,Biba,61,4.295081967
19236572,KALINI Women Black Ethnic Motifs Kurta,2399,Black,KALINI,,
16186448,Inddus Women Wine Self Design Anarkali Kurta with Printed Organza Dupatta,5999,Purple,Inddus,150,4.366666667
14323728,Indo Era Women Black & Golden Ethnic Motifs Yoke Design Kurta with Palazzos & With Dupatta,3999,Black,Indo Era,640,4.4015625
18778410,FASHOR Women Multicoloured & nirvana Chevron Printed Thread Work Kurta,1699,Multi,FASHOR,,
18200184,Biba Women Peach-Coloured Ethnic Motifs Printed Pure Cotton Kurta with Palazzos & With Dupatta,2999,Peach,Biba,,
17487160,Libas Women Blue & White Geometric Printed Pleated Cotton Kaftan Kurti with Trousers,1999,Blue,Libas,64,4.0625
18952254,KALINI Women Pink Ethnic Motifs Embroidered Keyhole Neck Georgette Kurta,1150,Pink,KALINI,,
16190840,Anouk Women White Ethnic Motifs Printed Pleated Pure Cotton Kurta with Trousers,3299,White,Anouk,96,4.125
15508896,Indo Era Women Green Ethnic Motifs Yoke Design Kurta with Palazzos & With Dupatta,6599,Green,Indo Era,32,4.0625
14904336,Varanga Women Purple & Off White Leheriya Striped Gotta Patti Kurta,3299,Purple,Varanga,436,4.254587156
17449666,Shae by SASSAFRAS Women Mauve & White Bandhani Printed Gotta Patti Anarkali Kurta,1999,Mauve,Shae by SASSAFRAS,37,4.189189189
16884160,Rajnandini Women Blue Abstract Kurta with Patiala & Dupatta,2663,Blue,Rajnandini,153,3.85620915
18686196,KARAJ JAIPUR Women Beige Printed Chanderi Cotton Kurta with Palazzos & With Dupatta,4795,Beige,KARAJ JAIPUR,,
12134668,Anouk Women Black Printed Kurta with Trousers,2499,Black,Anouk,853,4.083235639
16891228,Jaipur Kurti Women Pink Floral Gotta Patti Pure Cotton Kurta with Trousers & Dupatta,4649,Pink,Jaipur Kurti,79,4.556962025
18200178,Biba Women Blue Ethnic Motifs Printed Pure Cotton Kurta with Palazzos & Dupatta,3999,Blue,Biba,27,4.666666667
13091082,Yuris Women Pink & White Printed Kurta with Palazzos & Dupatta,4299,Pink,Yuris,2196,4.175318761
17241826,KALINI Women Black Geometric Checked Thread Work Straight Kurta,1499,Black,KALINI,390,4.228205128
15055286,Libas Women Blue Sequinned Detail Kurta with Palazzos & Dupatta,3999,Blue,Libas,702,4.464387464
15054566,Biba Women Black Floral Printed Panelled Pure Cotton Kurta with Palazzos & With Dupatta,5995,Black,Biba,87,4.586206897
19324668,FASHOR Women Pink  Thread Work Kurta,2699,Pink,FASHOR,,
14523618,Vbuyz Women Blue Ethnic Motifs Panelled Kurti with Trousers & With Dupatta,4999,Blue,Vbuyz,139,4.237410072
15535316,Ishin Women Teal Embroidered Regular Sequinned Pure Cotton Kurta with Sharara & With Dupatta,7299,Teal,Ishin,244,4.31557377
10343559,Bhama Couture Women Blue & White Bandhani Printed Kurta with Palazzos,3599,Blue,Bhama Couture,444,4.247747748
14949676,Stylum Women Mustard Yellow Ethnic Motifs Yoke Design Pleated Gotta Patti Kurti with Dhoti Pants,2600,Mustard,Stylum,2075,4.131084337
